Evasão – 1º semestre de 2010,,
"Relação curso, nome de estudantes, forma de evasão e email",,
NOME_CURSO,Total de estudantes,Ocorrência/forma de evasão
CURSO DE CIENCIA DA COMPUTACAO,15,abandono=10
,,cancelamento=3
,,transferido=2
CURSO DE ENGENHARIA AGRÍCOLA,1,cancelamento=1
CURSO DE ENGENHARIA CIVIL,8,abandono=5
,,cancelamento=1
,,transferido=2
CURSO DE ENGENHARIA ELETRICA,14,abandono=9
,,cancelamento=4
,,transferido=1
CURSO DE ENGENHARIA MECANICA,7,abandono=4
,,cancelamento=3
CURSO DE ENGENHARIA DE SOFTWARE,3,cancelamento=3
CURSO DE ENGENHARIA DE ALIMENTOS,10,abandono=5
,,cancelamento=4
,,transferência=1
CURSO DE ENGENHARIA DE COMPUTACAO,18,abandono=15
,,cancelamento=3
CURSO DE ENGENHARIA DE PRODUCAO,8,abandono=2
,,cancelamento=4
,,classificado e não matriculado=1
,,transferência=1
CURSO DE ENGENHARIA QUIMICA,15,abandono=2
,,cancelamento=9
,,classificado e não matriculado=3
,,transferência=1
CURSO DE ENGENHARIA DE ENERGIAS RENOVAVEIS E AMBIENTE,19,abandono=9
,,cancelamento=7
,,classificado e não matriculado=2
,,transferência=1
LICENCIATURA EM LETRAS-LÍNGUA PORTUGUESA E RESPECTIVAS LITERATURAS,16,abandono=10
,,cancelamento=4
,,falecimento=1
,,transferência=1
CURSO DE LICENCIATURA EM FISICA,5,abandono=1
,,cancelamento=4
CURSO DE LICENCIATURA EM MATEMATICA,17,abandono=15
,,cancelamento=1
,,transferência=1
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E ESPANHOL,3,abandono=3
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E INGLES,8,abandono=7
,,transferência=1
CURSO DE LICENCIATURA EM QUIMICA,6,abandono=1
,,cancelamento=3
,,classificado e não matriculado=2
CURSO DE LICENCIATURA EM CIENCIAS EXATAS,3,cancelamento=3
CURSO DE GEOFISICA,7,abandono=4
,,cancelamento=3
CURSO SUPERIOR DE TECNOLOGIA EM MINERACAO,9,abandono=4
,,cancelamento=5
CURSO SUPERIOR DE TECNOLOGIA EM AGRONEGÓCIOS,14,abandono=12
,,cancelamento=2
CURSO DE ZOOTECNIA,20,abandono=16
,,cancelamento=3
,,desligamento=1
REGIME ESPECIAL DE GRADUACAO,30,abandono=29
,,cancelamento=1
CURSO DE AGRONOMIA,25,abandono=23
,,cancelamento=2
CURSO DE NUTRIÇÃO,6,abandono=6
CURSO EM CIÊNCIA E TECNOLOGIA AGROALIMENTAR,11,abandono=11
CURSO DE LICENCIATURA EM HISTÓRIA,4,cancelamento=4
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - DIURNO,8,abandono=3
,,cancelamento=5
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - NOTURNO,22,abandono=9
,,cancelamento=9
,,transferido=4
CURSO DE LICENCIATURA EM PEDAGOGIA - DIURNO,2,abandono=1
,,transferido=1
CURSO DE LICENCIATURA EM PEDAGOGIA - NOTURNO,8,abandono=5
,,cancelamento=3
CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO DE TURISMO,6,cancelamento=6
CURSO DE CIENCIAS SOCIAIS - CIENCIA POLITICA,9,abandono=8
,,cancelamento=1
CURSO DE JORNALISMO,13,abandono=9
,,cancelamento=3
,,transferido=1
CURSO DE PUBLICIDADE E PROPAGANDA,16,abandono=12
,,cancelamento=3
,,transferido=1
CURSO DE RELAÇÕES PÚBLICAS,2,cancelamento=2
CURSO DE SERVICO SOCIAL,11,abandono=7
,,cancelamento=3
,,transferido=1
CURSO DE CIENCIAS BIOLOGICAS - LICENCIATURA PLENA(COD.111.UNI),1,abandono=1
CURSO DE CIENCIAS BIOLOGICAS - BACHARELADO,5,abandono=4
,,cancelamento=1
CURSO DE CIENCIAS BIOLOGICAS - LICENCIATURA PLENA,2,abandono=1
,,cancelamento=1
CURSO DE BIOTECNOLOGIA,8,abandono=3
,,cancelamento=5
CURSO DE ENGENHARIA FLORESTAL,28,abandono=6
,,cancelamento=10
,,transferência=12
CURSO DE GESTAO AMBIENTAL,4,abandono=4
CURSO DE ADMINISTRACAO - DIURNO,9,abandono=7
,,cancelamento=2
CURSO DE ADMINISTRACAO - NOTURNO,23,abandono=15
,,cancelamento=8
CURSO SUPERIOR DE TECNOLOGIA EM GESTAO PUBLICA,3,abandono=2
,,cancelamento=1
CURSO DE RELACOES INTERNACIONAIS,14,abandono=6
,,cancelamento=4
,,transferido=4
CURSO DE EDUCACAO FISICA,2,abandono=2
CURSO DE ENFERMAGEM,8,abandono=4
,,cancelamento=3
,,cancelamento convênio=1
CURSO DE FARMACIA,18,abandono=6
,,cancelamento=1
,,transferido=11
CURSO DE FISIOTERAPIA,13,abandono=9
,,cancelamento=3
,,transferido=1
CURSO DE LICENCIATURA EM EDUCAÇÃO FISICA,1,cancelamento=1
CURSO SUPERIOR DE TECNOLOGIA EM AQUICULTURA,4,abandono=3
,,cancelamento=1
CURSO DE MEDICINA VETERINARIA,1,abandono=1
TOTAL,543,Abandono
,,Cancelamento
,,Cancelamento convênio
,,Classificado e não matriculado
,,Desligamento
,,Falecimento
,,Transferência
,,Transferido
